id	target	level	ext	regex	hint
v14-include-typoscript	14	removed	typoscript,tsconfig	<INCLUDE_TYPOSCRIPT:	Use @import 'EXT:...'
v14-superglobals-request	14	breaking	php	\$_(GET|POST)\[|HTTP_(GET|POST)_VARS|\$GLOBALS\[.TYPO3_REQUEST.]	Read the PSR-7 request instead of $_GET/$_POST/$GLOBALS['TYPO3_REQUEST']
v14-getindpenv	15	deprecated	php	getIndpEnv\(	Use $request->getAttribute('normalizedParams') getters
v14-asset-concat-compress	14	removed	php,typoscript	(concatenate|compress)(Css|Js) *=|(css|js)(Concatenate|Compress)Handler|minifyJavaScript|(enable|disable|get)(Concatenate|Compress)(Css|Javascript)\(|excludeFromConcatenation|disableCompression	Remove concatenate/compress options, handlers and PageRenderer methods; bundle at build time
v14-system-resource-urls	14	breaking	php,typoscript,html	getPublicResourceWebPath\(|createVersionNumberedFilename\(|FilePathSanitizer|typo3conf/ext/	Reference EXT:/PKG:/FAL:/URI: resources; drop typo3conf/ext paths and deprecated helpers
v14-arbitrary-extension-resources	15	deprecated	php,typoscript,html,yaml	EXT:[a-z0-9_]+/(Documentation|Build|Classes|dist|node_modules|Assets)/	Keep resources in Configuration/, Resources/Private/, Resources/Public/ or declare them in Configuration/Resources.php
v14-list-type-removed	14	removed	php,typoscript,tsconfig	list_type|subtype_value_field|subtypes_(addlist|excludelist)|PLUGIN_TYPE_PLUGIN|tt_content\.list\.20	tt_content.list_type and TCA subtypes are gone: register CType plugins and run AbstractListTypeToCTypeUpdate wizard
v14-flexform-ds-pointer	14	breaking	php	ds_pointerField|addPiFlexFormValue\(|'ds' *=> *\[	Assign single ds per CType via columnsOverrides or registerPlugin()/addPlugin() FlexForm argument
v14-tca-searchfields	14	removed	php	'searchFields' *=>|'search' *=> *\[	Remove ctrl.searchFields and column search options; use 'searchable' => false to opt out
v14-tca-isstatic-maxdblistitems-evalyear	14	removed	php	'is_static' *=>|'max(Single)?DBListItems' *=>|'eval' *=> *'[^']*year	Remove is_static / maxDBListItems / eval=year; use TSconfig list limits and type=number range
v14-tca-valuepicker-mode	14	removed	php	'mode' *=> *'(prepend|append)'	Drop valuePicker mode prepend/append
v14-backend-layout-provider	14	removed	php	\[.BackendLayoutDataProvider.]	Implement DataProviderInterface::getIdentifier(); autoconfigure or tag page_layout.data_provider
v14-extbase-annotations-removed	14	removed	php	@(Extbase\\)?(Validate|IgnoreValidation|ORM\\(Lazy|Transient|Cascade)|FileUpload)([( ]|$)|@TYPO3\\CMS\\Extbase\\Annotation	Convert doc-comment annotations to PHP attributes
v14-extbase-attribute-namespace-array	15	deprecated	php	Extbase\\Annotation(\\| as )|#\[[A-Za-z\\]*(Validate|FileUpload|IgnoreValidation|Cascade)\( *\[	Use TYPO3\CMS\Extbase\Attribute namespace and named arguments instead of arrays
v14-extbase-method-level-validation	15	deprecated	php	IgnoreValidation\(.*argumentName|Validate\(.*(param:|'param' *=>)	Place #[Validate]/#[IgnoreValidation] directly on action parameters
v14-extbase-validator-request	14	breaking	php	implements +[A-Za-z\\, ]*ValidatorInterface	Extend AbstractValidator or implement setRequest()/getRequest()
v14-extbase-argument-strict	14	breaking	php	implements +[A-Za-z\\, ]*PropertyMappingConfigurationInterface|extends +[A-Za-z\\]*Mvc\\Controller\\Argument( |$)	Match strict types of Extbase Argument and PropertyMappingConfigurationInterface
v14-extbase-module-global-ts	14	breaking	typoscript	module\.tx_[a-z0-9_]+	Register module.tx_* config via addTypoScriptSetup() in ext_localconf.php for modules without page tree
v14-extbase-hashservice-removed	14	removed	php	Extbase\\Security\\Cryptography\\HashService|GeneralUtility::hmac\(	Use TYPO3\CMS\Core\Crypto\HashService
v14-hmac-sha3	14	breaking	php	->(hmac|appendHmac|validateHmac|validateAndStripHmac)\(	HMACs are SHA3-256 (64 chars): widen columns, pass HashAlgo explicitly for persisted hashes
v14-fluid-standaloneview-removed	14	removed	php	Fluid\\View\\(StandaloneView|TemplateView|AbstractTemplateView)|GenericViewResolver|ViewResolverInterface|Core\\View\\FluidView(Adapter|Factory)	Use ViewFactoryInterface->create(new ViewFactoryData(...))
v14-fluid-renderstatic-removed	14	removed	php	function +renderStatic *\(|CompileWithRenderStatic|CompileWithContentArgumentAndRenderStatic	Convert renderStatic() to render(); it is silently never called in Fluid 5
v14-fluid-tagattributes-removed	14	removed	php	registerUniversalTagAttributes\(|registerTagAttribute\(	Remove registerTagAttribute()/registerUniversalTagAttributes(); use additionalArguments or registerArgument()
v14-fluid-strict-viewhelpers	14	breaking	php	function +(initializeArguments|render) *\( *\) *(\{|$)	Declare initializeArguments(): void and a render() return type; no defaults on required args
v14-fluid-underscore-cdata	14	breaking	html	(as|name|key|iteration)="_[A-Za-z]|<!\[CDATA\[	Rename _-prefixed Fluid variables; remove CDATA sections (no longer stripped)
v14-renderingcontext-getrequest-removed	14	removed	php	renderingContext->(getRequest|setRequest)\(	Use $renderingContext->getAttribute(ServerRequestInterface::class)
v14-fluid-namespaces-conf-vars	15	deprecated	php	\[.fluid.]\[.namespaces.]	Register global namespaces in Configuration/Fluid/Namespaces.php
v14-removed-utility-methods	14	removed	php	ExtensionManagementUtility::(addPageTSConfig|addUserTSConfig|addPItoST43|getExtensionIcon)\(|MathUtility::convertToPositiveInteger\(|BackendUtility::(thumbCode|getTcaFieldConfiguration)\(	Use page.tsconfig/user.tsconfig files, max(0, (int)$x), configurePlugin(), Icon API
v14-enumeration-icon-constants-removed	14	removed	php	Core\\Type\\Enumeration|Type\\Icon\\IconState|Resource\\DuplicationBehavior|Icon::SIZE_[A-Z]+|AbstractFile::FILETYPE_	Use native enums IconSize, Imaging\IconState, Resource\Enum\DuplicationBehavior, Resource\FileType
v14-hook-interfaces-enablefields-removed	14	removed	php	(ContentObject(PostInit|GetData|StdWrap|GetImageResource|OneSourceCollection)|PageRepository(Init|GetPage))HookInterface|->enableFields\(	Replace hook interfaces with PSR-14 events; enableFields() with getDefaultConstraints()
v14-mailmessage-send	14	removed	php	(MailMessage|FluidEmail).*->send\(\)|\$(mail|message|email)->send\(\)	Inject MailerInterface and call $mailer->send($message)
v14-psr14-events-changed	14	breaking	php	AfterMailerInitializationEvent|AfterCacheableContentIsGeneratedEvent|AfterCachedPageIsPersistedEvent|ModifyPageLayoutOnLoginProviderSelectionEvent	AfterMailerInitializationEvent removed; AfterCacheableContentIsGeneratedEvent uses getContent()/setContent(); no TSFE in cache events
v14-typolink-builder	14	breaking	php	extends +[A-Za-z\\]*AbstractTypolinkBuilder|function +build\( *array *&	Implement TypolinkBuilderInterface with DI and buildLink($linkDetails, $configuration, $request, $linkText)
v14-flexformservice	14	breaking	php	Core\\Service\\FlexFormService|FlexFormService::class	Inject FlexFormTools and call convertFlexFormContentToArray($xml) (one argument)
v14-cache-backend-strict	14	breaking	php	(extends|implements) +[A-Za-z\\]*(AbstractBackend|BackendInterface|TaggableBackendInterface|FrontendInterface|FreezableBackendInterface)	Match strict cache backend/frontend interface signatures; FreezableBackendInterface removed
v14-upgrade-wizard-namespace	15	deprecated	php	Install\\Updates\\(UpgradeWizardInterface|RepeatableInterface|ChattyInterface|ConfirmableInterface|AbstractListTypeToCTypeUpdate)|Install\\Attribute\\UpgradeWizard	Use TYPO3\CMS\Core\Upgrades\* and TYPO3\CMS\Core\Attribute\UpgradeWizard
v14-scheduler-sc-options	15	deprecated	php	\[.scheduler.]\[.tasks.]|AdditionalFieldProviderInterface	Register native TCA-based scheduler tasks instead of SC_OPTIONS + AdditionalFieldProvider
v14-reports-interface	14	removed	php	Reports\\(RequestAware)?ReportInterface|implements +[A-Za-z\\, ]*(RequestAware)?ReportInterface|\[.reports.]\[.tx_reports.]	Register reports as backend submodules of system_reports in Modules.php
v14-metadata-extractor-registration	14	removed	php	registerExtractionService\(	Remove registerExtractionService(); ExtractorInterface classes are autoconfigured
v14-buttonbar-make	15	deprecated	php	->make(Button|LinkButton|InputButton|SplitButton|DropDownButton|FullyRenderedButton|ShortcutButton|MenuItem|Menu)\(	Inject ComponentFactory and use create*() methods
v14-backend-modal-dialog	14	breaking	js	(show|shown|hide|hidden)\.bs\.modal|bootstrap.*Modal|new +Modal\(	Use @typo3/backend/modal API and typo3-modal-* events on the returned instance
v14-localization-internals	14	breaking	php	\[.lang.]\[.(parser|format|requireApprovedLocalizations).]|locallangXMLOverride|->getParsedData\(	Move lang config to TYPO3_CONF_VARS[LANG]; locallangXMLOverride -> LANG.resourceOverrides; getParsedData(file, lang)
v14-datahandler-environment-leftovers	14	removed	php	->(storeLogMessages|copyWhichTables|neverHideAtCopy|copyTree)[^A-Za-z_]|getComposerRootPath\(	Drop removed DataHandler copy/log properties; Environment::getProjectPath()
